,RACE,RACE,RACE,RACE
MinorityInterest,5998000.0,4018000.0,5518000.0,9630000.0
NetDebt,1131295000.0,1300049000.0,1229655000.0,1365455000.0
NetPPE,1069652000.0,1226630000.0,1353165000.0,1457825000.0
NetTangibleAssets,-141830000.0,20714000.0,282543000.0,500287000.0
NonCurrentDeferredAssets,73683000.0,152221000.0,168757000.0,203382000.0
NonCurrentDeferredLiabilities,357647000.0,384300000.0,352179000.0,396860000.0
NonCurrentDeferredRevenue,275439000.0,270826000.0,256206000.0,270353000.0
NonCurrentDeferredTaxesAssets,73683000.0,152221000.0,168757000.0,203382000.0
NonCurrentDeferredTaxesLiabilities,82208000.0,113474000.0,95973000.0,126507000.0
OrdinarySharesNumber,185283323.0,184747890.0,183843396.0,181953498.0
OtherCurrentAssets,4255000.0,6025000.0,24862000.0,30417000.0
OtherEquityAdjustments,-4654000.0,24164000.0,-22006000.0,46233000.0
OtherIntangibleAssets,837938000.0,979290000.0,1138173000.0,1307388000.0
OtherNonCurrentLiabilities,404796000.0,301600000.0,347930000.0,520843000.0
OtherProperties,192528000.0,213544000.0,233094000.0,258673000.0
OtherShortTermInvestments,1986000.0,1448000.0,1935000.0,7068000.0
Payables,718645000.0,729702000.0,910742000.0,961531000.0
PayablesAndAccruedExpenses,804610000.0,790490000.0,991529000.0,1060066000.0
PrepaidAssets,39856000.0,38826000.0,36084000.0,42908000.0
Properties,0.0,0.0,0.0,0.0
RawMaterials,85155000.0,96900000.0,99382000.0,142430000.0
Receivables,1267684000.0,1167925000.0,1404552000.0,1728323000.0
RetainedEarnings,1452720000.0,1739380000.0,2192453000.0,2499771000.0
ShareIssued,193923499.0,193923499.0,193923499.0,193923499.0
StockholdersEquity,1481290000.0,1785186000.0,2205898000.0,2592857000.0
TangibleBookValue,-141830000.0,20714000.0,282543000.0,500287000.0
TaxesReceivable,69797000.0,44058000.0,75584000.0,95912000.0
TotalAssets,5446372000.0,6262047000.0,6863505000.0,7765823000.0
TotalCapitalization,3510531000.0,4447641000.0,4779699000.0,5347213000.0
TotalDebt,2089737000.0,2724745000.0,2630011000.0,2811779000.0
TotalEquityGrossMinorityInterest,1487288000.0,1789204000.0,2211416000.0,2602487000.0
TotalLiabilitiesNetMinorityInterest,3959084000.0,4472843000.0,4652089000.0,5163336000.0
TotalNonCurrentAssets,2805171000.0,3186164000.0,3499786000.0,3813311000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3154474000.0,3682353000.0,3660560000.0,4103270000.0
TotalTaxPayable,7106000.0,15895000.0,112910000.0,58563000.0
TradeandOtherPayablesNonCurrent,48606000.0,56388000.0,78372000.0,82287000.0
TreasurySharesNumber,8640176.0,9175609.0,10080103.0,11970001.0
WorkInProcess,91119000.0,94619000.0,121201000.0,145459000.0
WorkingCapital,1836591000.0,2285393000.0,2372190000.0,2892446000.0
