,PM,PM,PM,PM
MachineryFurnitureEquipment,9354000000.0,9460000000.0,9275000000.0,9549000000.0
MinorityInterest,1978000000.0,1936000000.0,1898000000.0,2646000000.0
NetDebt,24184000000.0,24256000000.0,23310000000.0,39916000000.0
NetPPE,6631000000.0,6365000000.0,6168000000.0,6710000000.0
NetTangibleAssets,-19548000000.0,-20550000000.0,-19604000000.0,-35344000000.0
NonCurrentDeferredAssets,1153000000.0,1410000000.0,895000000.0,603000000.0
NonCurrentDeferredLiabilities,908000000.0,684000000.0,726000000.0,1956000000.0
NonCurrentDeferredTaxesAssets,1153000000.0,1410000000.0,895000000.0,603000000.0
NonCurrentDeferredTaxesLiabilities,908000000.0,684000000.0,726000000.0,1956000000.0
OrdinarySharesNumber,1555894663.0,1557373731.0,1550169993.0,1550217711.0
OtherCurrentAssets,701000000.0,860000000.0,561000000.0,1770000000.0
OtherCurrentBorrowings,4051000000.0,3124000000.0,2798000000.0,2611000000.0
OtherCurrentLiabilities,14444000000.0,16247000000.0,16232000000.0,19088000000.0
OtherIntangibleAssets,2113000000.0,2019000000.0,2818000000.0,6732000000.0
OtherNonCurrentAssets,1971000000.0,2767000000.0,2549000000.0,3931000000.0
OtherNonCurrentLiabilities,6077000000.0,6979000000.0,4734000000.0,3825000000.0
OtherReceivables,637000000.0,856000000.0,817000000.0,906000000.0
Payables,10763000000.0,12154000000.0,12638000000.0,14546000000.0
PayablesAndAccruedExpenses,13402000000.0,15058000000.0,15086000000.0,17920000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1042000000.0,1189000000.0,1146000000.0,1168000000.0
Properties,0.0,0.0,0.0,0.0
RawMaterials,3648000000.0,3775000000.0,3294000000.0,3702000000.0
Receivables,3717000000.0,3761000000.0,3940000000.0,4756000000.0
RetainedEarnings,30987000000.0,31638000000.0,33082000000.0,34289000000.0
ShareIssued,2109316331.0,2109316331.0,2109316331.0,2109316331.0
StockholdersEquity,-11577000000.0,-12567000000.0,-10106000000.0,-8957000000.0
TangibleBookValue,-19548000000.0,-20550000000.0,-19604000000.0,-35344000000.0
TotalAssets,42875000000.0,44815000000.0,41290000000.0,61681000000.0
TotalCapitalization,15079000000.0,15601000000.0,14677000000.0,25918000000.0
TotalDebt,31045000000.0,31536000000.0,27806000000.0,43123000000.0
TotalEquityGrossMinorityInterest,-9599000000.0,-10631000000.0,-8208000000.0,-6311000000.0
TotalLiabilitiesNetMinorityInterest,52474000000.0,55446000000.0,49498000000.0,67992000000.0
TotalNonCurrentAssets,22361000000.0,23323000000.0,23573000000.0,42062000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,33641000000.0,35831000000.0,30243000000.0,40656000000.0
TotalTaxPayable,6633000000.0,7494000000.0,7349000000.0,8480000000.0
TradeandOtherPayablesNonCurrent,2443000000.0,2509000000.0,1766000000.0,1841000000.0
TreasurySharesNumber,553421668.0,551942600.0,559146338.0,559098620.0
TreasuryStock,35220000000.0,35129000000.0,35836000000.0,35917000000.0
WorkingCapital,1681000000.0,1877000000.0,-1538000000.0,-7717000000.0
