,T,T,T,T
InvestmentsinAssociatesatCost,3695000000.0,1780000000.0,7274000000.0,3533000000.0
LandAndImprovements,2651000000.0,2571000000.0,2458000000.0,1381000000.0
LineOfCredit,4000000.0,0.0,10100000000.0,0.0
LongTermCapitalLeaseObligation,23676000000.0,24049000000.0,21261000000.0,18659000000.0
LongTermDebt,149437000000.0,151928000000.0,152820000000.0,128423000000.0
LongTermDebtAndCapitalLeaseObligation,173113000000.0,175977000000.0,174081000000.0,147082000000.0
LongTermEquityInvestment,3695000000.0,1780000000.0,7274000000.0,3533000000.0
MachineryFurnitureEquipment,118305000000.0,114463000000.0,114985000000.0,116108000000.0
MinimumPensionLiabilities,,,,6654000000.0
MinorityInterest,17713000000.0,17567000000.0,17523000000.0,8957000000.0
NetDebt,148983000000.0,145469000000.0,157526000000.0,132319000000.0
NetPPE,154167000000.0,152029000000.0,150084000000.0,149259000000.0
NetTangibleAssets,-119637000000.0,-119902000000.0,-126384000000.0,-99841000000.0
NonCurrentDeferredLiabilities,59502000000.0,60472000000.0,65226000000.0,57032000000.0
NonCurrentDeferredTaxesLiabilities,59502000000.0,60472000000.0,65226000000.0,57032000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,18788000000.0,18276000000.0,12649000000.0,7260000000.0
OrdinarySharesNumber,7254555140.0,7125922015.0,7141063893.0,7127591782.0
OtherCurrentAssets,18364000000.0,20231000000.0,,14818000000.0
OtherCurrentBorrowings,11672000000.0,3281000000.0,9189000000.0,6731000000.0
OtherCurrentLiabilities,,,,2670000000.0
OtherEquityAdjustments,,,,-1998000000.0
OtherIntangibleAssets,157617000000.0,146316000000.0,159493000000.0,129446000000.0
OtherNonCurrentAssets,35188000000.0,38369000000.0,41551000000.0,19612000000.0
OtherNonCurrentLiabilities,29421000000.0,28358000000.0,30223000000.0,28849000000.0
OtherPayable,9164000000.0,7631000000.0,8347000000.0,3137000000.0
OtherProperties,193521000000.0,191914000000.0,191074000000.0,188022000000.0
Payables,43797000000.0,44227000000.0,44254000000.0,37050000000.0
PayablesAndAccruedExpenses,49421000000.0,52377000000.0,53132000000.0,40815000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1528000000.0,1415000000.0,1278000000.0,1173000000.0
PreferredSharesNumber,48000000.0,118000000.0,118000000.0,118000000.0
PreferredStock,0.0,0.0,0.0,0.0
PrepaidAssets,1631000000.0,1822000000.0,17793000000.0,14818000000.0
Properties,0.0,0.0,0.0,0.0
Receivables,22636000000.0,20215000000.0,17571000000.0,11466000000.0
RetainedEarnings,57936000000.0,37457000000.0,42350000000.0,-19415000000.0
ShareIssued,7620748598.0,7620748598.0,7620748598.0,7620748598.0
StockholdersEquity,184221000000.0,161673000000.0,166332000000.0,97500000000.0
TangibleBookValue,-119637000000.0,-119902000000.0,-126384000000.0,-99841000000.0
TotalAssets,551669000000.0,525761000000.0,551622000000.0,402853000000.0
TotalCapitalization,333658000000.0,313601000000.0,319152000000.0,225923000000.0
TotalDebt,184951000000.0,179447000000.0,199956000000.0,154679000000.0
TotalEquityGrossMinorityInterest,201934000000.0,179240000000.0,183855000000.0,106457000000.0
TotalLiabilitiesNetMinorityInterest,349735000000.0,346521000000.0,367767000000.0,296396000000.0
TotalNonCurrentAssets,496908000000.0,473753000000.0,491625000000.0,369745000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,280824000000.0,283083000000.0,282179000000.0,240223000000.0
TotalTaxPayable,1212000000.0,1019000000.0,1402000000.0,798000000.0
TreasurySharesNumber,366193458.0,494826583.0,479684705.0,493156816.0
TreasuryStock,13085000000.0,17910000000.0,17280000000.0,17082000000.0
UnrealizedGainLoss,,,,-90000000.0
WorkingCapital,-14150000000.0,-11430000000.0,-25591000000.0,-23065000000.0
