,AA,AA,AA,AA
NonCurrentAccountsReceivable,179000000.0,134000000.0,215000000.0,
NonCurrentDeferredAssets,766000000.0,791000000.0,655000000.0,308000000.0
NonCurrentDeferredLiabilities,102000000.0,101000000.0,90000000.0,
NonCurrentDeferredRevenue,52000000.0,45000000.0,36000000.0,
NonCurrentDeferredTaxesAssets,642000000.0,655000000.0,506000000.0,308000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,2254000000.0,2236000000.0,1067000000.0,732000000.0
NonCurrentPrepaidAssets,718000000.0,836000000.0,759000000.0,
OrdinarySharesNumber,185580166.0,185978069.0,184099748.0,176969091.0
OtherCurrentBorrowings,1000000.0,2000000.0,76000000.0,1000000.0
OtherCurrentLiabilities,561000000.0,870000000.0,716000000.0,681000000.0
OtherIntangibleAssets,52000000.0,45000000.0,36000000.0,
OtherInventories,446000000.0,412000000.0,539000000.0,
OtherNonCurrentAssets,156000000.0,148000000.0,198000000.0,1587000000.0
OtherNonCurrentLiabilities,58000000.0,47000000.0,34000000.0,486000000.0
OtherProperties,8126000000.0,7750000000.0,7525000000.0,
OtherReceivables,114000000.0,85000000.0,127000000.0,131000000.0
Payables,1588000000.0,1494000000.0,2048000000.0,1987000000.0
PayablesAndAccruedExpenses,1588000000.0,1494000000.0,2048000000.0,1987000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,413000000.0,395000000.0,383000000.0,335000000.0
PrepaidAssets,288000000.0,290000000.0,358000000.0,362000000.0
RawMaterials,611000000.0,553000000.0,794000000.0,
Receivables,660000000.0,556000000.0,884000000.0,909000000.0
RestrictedCash,,,,55000000.0
RetainedEarnings,-555000000.0,-725000000.0,-315000000.0,-549000000.0
ShareIssued,185580166.0,185978069.0,184099748.0,176969091.0
StockholdersEquity,4112000000.0,3311000000.0,4672000000.0,5058000000.0
TangibleBookValue,3910000000.0,3121000000.0,4492000000.0,5058000000.0
TotalAssets,14631000000.0,14860000000.0,15025000000.0,14783000000.0
TotalCapitalization,5911000000.0,5774000000.0,6398000000.0,6864000000.0
TotalDebt,1900000000.0,2547000000.0,1866000000.0,1807000000.0
TotalEquityGrossMinorityInterest,5886000000.0,5016000000.0,6284000000.0,6572000000.0
TotalLiabilitiesNetMinorityInterest,8745000000.0,9844000000.0,8741000000.0,8211000000.0
TotalNonCurrentAssets,11101000000.0,10340000000.0,10000000000.0,9533000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,6182000000.0,7083000000.0,5518000000.0,5207000000.0
TotalTaxPayable,104000000.0,91000000.0,374000000.0,230000000.0
TradeandOtherPayablesNonCurrent,276000000.0,378000000.0,412000000.0,220000000.0
WorkInProcess,282000000.0,112000000.0,85000000.0,
WorkingCapital,967000000.0,1759000000.0,1803000000.0,2246000000.0
