,LLY,LLY,LLY,LLY
MachineryFurnitureEquipment,7913300000.0,8560900000.0,,
MinorityInterest,92200000.0,183600000.0,175600000.0,125600000.0
NetDebt,12979700000.0,12938200000.0,13066200000.0,14171600000.0
NetPPE,8405000000.0,8681900000.0,8985100000.0,10144000000.0
NetTangibleAssets,-7690500000.0,-5574900000.0,-2604700000.0,-629800000.0
NonCurrentDeferredAssets,2572600000.0,2830400000.0,2489300000.0,2792900000.0
NonCurrentDeferredLiabilities,2187500000.0,2099900000.0,1733700000.0,87300000.0
NonCurrentDeferredTaxesAssets,2572600000.0,2830400000.0,2489300000.0,2792900000.0
NonCurrentDeferredTaxesLiabilities,2187500000.0,2099900000.0,1733700000.0,87300000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,3698200000.0,4094500000.0,1954100000.0,1305100000.0
OrdinarySharesNumber,957526000.0,956590000.0,953653000.0,950182000.0
OtherCurrentAssets,,,,2954100000.0
OtherCurrentLiabilities,2189400000.0,2750300000.0,3027500000.0,2370300000.0
OtherEquityInterest,-3013200000.0,-3013200000.0,-3013200000.0,-3013200000.0
OtherIntangibleAssets,6618000000.0,7450000000.0,7691900000.0,7206600000.0
OtherNonCurrentAssets,2339100000.0,3475400000.0,4082700000.0,4337000000.0
OtherNonCurrentLiabilities,1014300000.0,1707500000.0,1644300000.0,1736700000.0
OtherProperties,8445400000.0,8560900000.0,8937200000.0,9406300000.0
OtherReceivables,994200000.0,1053700000.0,1454400000.0,1662900000.0
OtherShortTermInvestments,101000000.0,24200000.0,90100000.0,144800000.0
Payables,2237400000.0,2872400000.0,2683000000.0,3422900000.0
PayablesAndAccruedExpenses,7171000000.0,8725400000.0,9528800000.0,12207000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,915500000.0,997200000.0,958100000.0,1059800000.0
PrepaidAssets,2538900000.0,2871500000.0,2530600000.0,
Properties,0.0,0.0,0.0,0.0
RawMaterials,424600000.0,651200000.0,717200000.0,801900000.0
Receivables,5541500000.0,6929000000.0,8127200000.0,8558900000.0
RetainedEarnings,4920400000.0,7830200000.0,8958500000.0,10042600000.0
ShareIssued,958056000.0,957077000.0,954116000.0,950632000.0
StockholdersEquity,2606900000.0,5641600000.0,8979200000.0,10649800000.0
TangibleBookValue,-7690500000.0,-5574900000.0,-2604700000.0,-629800000.0
TotalAssets,39286100000.0,46633100000.0,48806000000.0,49489800000.0
TotalCapitalization,16424800000.0,22228200000.0,24325600000.0,25387300000.0
TotalDebt,15803900000.0,16595300000.0,16884700000.0,16238600000.0
TotalEquityGrossMinorityInterest,2699100000.0,5825200000.0,9154800000.0,10775400000.0
TotalLiabilitiesNetMinorityInterest,36587000000.0,40807900000.0,39651200000.0,38714400000.0
TotalNonCurrentAssets,25576500000.0,29171000000.0,30353600000.0,31455300000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,24811800000.0,28326300000.0,24598500000.0,21576200000.0
TotalTaxPayable,160600000.0,495100000.0,126900000.0,475100000.0
TradeandOtherPayablesNonCurrent,3607200000.0,3837800000.0,3920000000.0,3709600000.0
TreasurySharesNumber,530000.0,487000.0,463000.0,450000.0
TreasuryStock,60800000.0,55700000.0,52700000.0,50500000.0
WorkInProcess,2067600000.0,2535400000.0,2372700000.0,2597700000.0
WorkingCapital,1934400000.0,4980500000.0,3399700000.0,896300000.0
