,ORCL,ORCL,ORCL,ORCL,ORCL
DeferredIncomeTax,-1191000000.0,-851000000.0,-2425000000.0,-1146000000.0,-1178000000.0
DeferredTax,-1191000000.0,-851000000.0,-2425000000.0,-1146000000.0,-1178000000.0
Depreciation,1230000000.0,1382000000.0,1537000000.0,1972000000.0,2197000000.0
DepreciationAmortizationDepletion,2919000000.0,2968000000.0,2916000000.0,3122000000.0,4570000000.0
DepreciationAndAmortization,2919000000.0,2968000000.0,2916000000.0,3122000000.0,4570000000.0
EffectOfExchangeRateChanges,-158000000.0,-125000000.0,448000000.0,-348000000.0,-225000000.0
EndCashPosition,20514000000.0,37239000000.0,30098000000.0,21383000000.0,7038000000.0
FinancingCashFlow,-42056000000.0,-6132000000.0,-10378000000.0,-29126000000.0,4850000000.0
FreeCashFlow,12891000000.0,11575000000.0,13752000000.0,5028000000.0,8395000000.0
IncomeTaxPaidSupplementalData,2901000000.0,3218000000.0,3189000000.0,2567000000.0,
InterestPaidSupplementalData,2059000000.0,1972000000.0,2408000000.0,2735000000.0,
InvestingCashFlow,26557000000.0,9843000000.0,-13098000000.0,11220000000.0,-30823000000.0
IssuanceOfCapitalStock,2155000000.0,1588000000.0,1786000000.0,482000000.0,838000000.0
IssuanceOfDebt,0.0,19888000000.0,14934000000.0,0.0,30160000000.0
LongTermDebtIssuance,0.0,19888000000.0,14934000000.0,0.0,28280000000.0
LongTermDebtPayments,-4500000000.0,-4500000000.0,-2631000000.0,-8250000000.0,-19192000000.0
NetBusinessPurchaseAndSale,-363000000.0,-124000000.0,-41000000.0,-148000000.0,-27897000000.0
NetCommonStockIssuance,-34488000000.0,-18317000000.0,-19814000000.0,-16859000000.0,-2507000000.0
NetIncome,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetIncomeFromContinuingOperations,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8797000000.0
NetInvestmentPurchaseAndSale,28580000000.0,11531000000.0,-10922000000.0,15879000000.0,3752000000.0
NetIssuancePaymentsOfDebt,-4500000000.0,15388000000.0,12303000000.0,-8250000000.0,10968000000.0
NetLongTermDebtIssuance,-4500000000.0,15388000000.0,12303000000.0,-8250000000.0,9088000000.0
NetOtherFinancingCharges,-136000000.0,-133000000.0,196000000.0,-560000000.0,-179000000.0
OperatingCashFlow,14551000000.0,13139000000.0,15887000000.0,9539000000.0,15073000000.0
OtherNonCashItems,157000000.0,239000000.0,-39000000.0,220000000.0,685000000.0
ProvisionandWriteOffofAssets,190000000.0,245000000.0,192000000.0,,
PurchaseOfBusiness,-363000000.0,-124000000.0,-41000000.0,-148000000.0,-27897000000.0
PurchaseOfInvestment,-1400000000.0,-5731000000.0,-37982000000.0,-10272000000.0,-1244000000.0
RepaymentOfDebt,-4500000000.0,-4500000000.0,-2631000000.0,-8250000000.0,-19192000000.0
RepurchaseOfCapitalStock,-36643000000.0,-19905000000.0,-21600000000.0,-17341000000.0,-3345000000.0
SaleOfInvestment,29980000000.0,17262000000.0,27060000000.0,26151000000.0,4996000000.0
StockBasedCompensation,1653000000.0,1590000000.0,1837000000.0,2613000000.0,3046000000.0
