,A,A,A,A,A
NetIncomeFromContinuingOperations,1071000000.0,719000000.0,1210000000.0,1254000000.0,1254000000.0
NetIntangiblesPurchaseAndSale,-1000000.0,0.0,-1000000.0,,
NetInvestmentPurchaseAndSale,-23000000.0,-20000000.0,-10000000.0,9000000.0,9000000.0
NetIssuancePaymentsOfDebt,600000000.0,-45000000.0,356000000.0,26000000.0,26000000.0
NetLongTermDebtIssuance,600000000.0,-120000000.0,431000000.0,-9000000.0,-9000000.0
NetOtherFinancingCharges,-24000000.0,-41000000.0,-83000000.0,-67000000.0,-67000000.0
NetOtherInvestingChanges,-3000000.0,-9000000.0,-5000000.0,-4000000.0,-4000000.0
NetPPEPurchaseAndSale,-155000000.0,-118000000.0,-187000000.0,-291000000.0,-291000000.0
NetShortTermDebtIssuance,-702000000.0,75000000.0,-75000000.0,35000000.0,35000000.0
OperatingCashFlow,1021000000.0,921000000.0,1485000000.0,1312000000.0,1312000000.0
OperatingGainsLosses,9000000.0,,-81000000.0,76000000.0,76000000.0
OtherNonCashItems,19000000.0,36000000.0,11000000.0,10000000.0,10000000.0
ProceedsFromStockOptionExercised,54000000.0,60000000.0,55000000.0,58000000.0,58000000.0
ProvisionandWriteOffofAssets,19000000.0,28000000.0,,,
PurchaseOfBusiness,-1408000000.0,0.0,-546000000.0,-52000000.0,-52000000.0
PurchaseOfIntangibles,-1000000.0,0.0,-1000000.0,,
PurchaseOfInvestment,-23000000.0,-20000000.0,-22000000.0,-13000000.0,-13000000.0
PurchaseOfPPE,-155000000.0,-119000000.0,-188000000.0,-291000000.0,-291000000.0
RepaymentOfDebt,-702000000.0,-1762000000.0,-2139000000.0,-1869000000.0,-1869000000.0
RepurchaseOfCapitalStock,-723000000.0,-469000000.0,-788000000.0,-1139000000.0,-1139000000.0
SaleOfBusiness,0.0,,,,
SaleOfInvestment,,,12000000.0,22000000.0,22000000.0
SaleOfPPE,0.0,1000000.0,1000000.0,0.0,0.0
ShortTermDebtIssuance,805000000.0,420000000.0,1647000000.0,1295000000.0,1295000000.0
ShortTermDebtPayments,-702000000.0,-345000000.0,-1722000000.0,-1260000000.0,-1260000000.0
StockBasedCompensation,72000000.0,83000000.0,110000000.0,125000000.0,125000000.0
UnrealizedGainLossOnInvestmentSecurities,,-28000000.0,,,
